Gene	sgRNA	D18_DMSO|beta	D18_DMSO|z	D18_DMSO|p-value	D18_DMSO|fdr	D18_DMSO|wald-p-value	D18_DMSO|wald-fdr	D18_CompB|beta	D18_CompB|z	D18_CompB|p-value	D18_CompB|fdr	D18_CompB|wald-p-value	D18_CompB|wald-fdr
A1BG	6	0.12993	1.4454	0.41104	0.87025	0.14834	0.37858	0.16296	1.8215	0.31595	0.86342	0.068533	0.2771
A1CF	6	-0.30434	-2.0772	0.1405	0.73083	0.03778	0.21752	-0.19777	-1.363	0.32653	0.86694	0.17288	0.42096
A2M	6	0.27616	1.9232	0.095003	0.65389	0.054454	0.23901	0.25412	1.7774	0.12544	0.70649	0.075505	0.28998
A2ML1	6	-0.076182	-0.89118	0.73119	0.96083	0.37283	0.59989	0.018958	0.22404	0.85959	0.97687	0.82273	0.90891
A3GALT2	6	0.069471	0.72581	0.63733	0.93352	0.46795	0.67887	0.12646	1.3347	0.43103	0.91164	0.18198	0.43222
A4GALT	6	0.10235	0.93648	0.50815	0.89777	0.34903	0.58105	0.10712	0.98534	0.49806	0.93363	0.32446	0.5712
A4GNT	6	-0.049015	-0.43607	0.84303	0.97986	0.66279	0.81475	-0.21246	-1.8961	0.29363	0.85461	0.05795	0.25652
AAAS	6	0.26654	1.8546	0.10691	0.67785	0.063647	0.25764	0.22854	1.6008	0.16692	0.7606	0.10941	0.34288
AACS	6	-0.1947	-2.5708	0.33443	0.84387	0.010146	0.12875	-0.17185	-2.28	0.39325	0.89677	0.022609	0.16881
AADAC	6	-0.11376	-0.75201	0.5812	0.91554	0.45204	0.6674	-0.23171	-1.5395	0.25316	0.83328	0.12368	0.36335
AADACL2	6	0.040537	0.47382	0.75921	0.96684	0.63563	0.79652	0.12756	1.4985	0.42802	0.91154	0.13402	0.37605
AADACL3	6	0.14797	1.9863	0.35387	0.85042	0.047003	0.22624	0.065197	0.87916	0.66338	0.96712	0.37931	0.62007
AADACL4	6	0.21894	1.9555	0.18079	0.78515	0.050519	0.2306	0.23372	2.0971	0.15761	0.74736	0.035987	0.2073
AADAT	6	0.16181	1.5274	0.3118	0.82778	0.12667	0.34925	0.070262	0.66583	0.64066	0.96166	0.50552	0.71903
AAED1	6	0.086797	0.54198	0.56541	0.91056	0.58784	0.76599	0.06718	0.42327	0.65448	0.96375	0.6721	0.8371
AAGAB	6	-0.32547	-2.4347	0.11695	0.69731	0.014903	0.15044	-0.47994	-3.6066	0.032307	0.48861	0.00031027	0.019372
AAK1	6	-0.054907	-0.42676	0.81871	0.97749	0.66955	0.82001	-0.00049913	-0.0039204	0.94634	0.99007	0.99687	0.99828
AAMDC	6	-0.033902	-0.29122	0.90888	0.98737	0.77088	0.88011	-0.16267	-1.4013	0.41935	0.90947	0.16113	0.40818
AAMP	6	0.014063	0.081523	0.87219	0.98257	0.93503	0.96848	0.005264	0.030725	0.92206	0.9871	0.97549	0.98816
AANAT	6	0.21517	1.4468	0.18791	0.7869	0.14796	0.37824	0.29003	1.9667	0.084098	0.6406	0.049224	0.23754
AAR2	6	0.053131	0.39675	0.70481	0.95494	0.69155	0.83413	0.030253	0.22703	0.80867	0.97374	0.8204	0.90767
AARD	6	-0.0090768	-0.098354	0.97915	0.99682	0.92165	0.96218	0.053573	0.58483	0.7091	0.97308	0.55866	0.75736
AARS	6	-0.44376	-2.1317	0.040703	0.51378	0.033031	0.20647	-0.50141	-2.428	0.026877	0.46932	0.015183	0.14115
AARS2	6	-0.12148	-1.0097	0.55145	0.90613	0.31264	0.55044	-0.17609	-1.4707	0.38184	0.89002	0.14137	0.38621
AARSD1	6	0.12799	1.6882	0.4183	0.8734	0.091371	0.30361	0.085628	1.1335	0.58024	0.95264	0.257	0.50992
