"sgrna","gene"
"HGLibA_00001","A1BG"
"HGLibA_00002","A1BG"
"HGLibA_00003","A1BG"
"HGLibB_00001","A1BG"
"HGLibB_00002","A1BG"
"HGLibB_00003","A1BG"
"HGLibA_00004","A1CF"
"HGLibA_00005","A1CF"
"HGLibA_00006","A1CF"
"HGLibB_00004","A1CF"
"HGLibB_00005","A1CF"
"HGLibB_00006","A1CF"
"HGLibA_00007","A2M"
"HGLibA_00008","A2M"
"HGLibA_00009","A2M"
"HGLibB_00007","A2M"
"HGLibB_00008","A2M"
"HGLibB_00009","A2M"
"HGLibA_00010","A2ML1"
"HGLibA_00011","A2ML1"
"HGLibA_00012","A2ML1"
"HGLibB_00010","A2ML1"
"HGLibB_00011","A2ML1"
"HGLibB_00012","A2ML1"
"HGLibA_00013","A3GALT2"
"HGLibA_00014","A3GALT2"
"HGLibA_00015","A3GALT2"
"HGLibB_00013","A3GALT2"
"HGLibB_00014","A3GALT2"
"HGLibB_00015","A3GALT2"
"HGLibA_00016","A4GALT"
"HGLibA_00017","A4GALT"
"HGLibA_00018","A4GALT"
"HGLibB_00016","A4GALT"
"HGLibB_00017","A4GALT"
"HGLibB_00018","A4GALT"
"HGLibA_00019","A4GNT"
"HGLibA_00020","A4GNT"
"HGLibA_00021","A4GNT"
"HGLibB_00019","A4GNT"
"HGLibB_00020","A4GNT"
"HGLibB_00021","A4GNT"
"HGLibA_00022","AAAS"
"HGLibA_00023","AAAS"
"HGLibA_00024","AAAS"
"HGLibB_00022","AAAS"
"HGLibB_00023","AAAS"
"HGLibB_00024","AAAS"
"HGLibA_00025","AACS"
"HGLibA_00026","AACS"
"HGLibA_00027","AACS"
"HGLibB_00025","AACS"
"HGLibB_00026","AACS"
"HGLibB_00027","AACS"
"HGLibA_00028","AADAC"
"HGLibA_00029","AADAC"
"HGLibA_00030","AADAC"
"HGLibB_00028","AADAC"
"HGLibB_00029","AADAC"
"HGLibB_00030","AADAC"
"HGLibA_00031","AADACL2"
"HGLibA_00032","AADACL2"
"HGLibA_00033","AADACL2"
"HGLibB_00031","AADACL2"
"HGLibB_00032","AADACL2"
"HGLibB_00033","AADACL2"
"HGLibA_00034","AADACL3"
"HGLibA_00035","AADACL3"
"HGLibA_00036","AADACL3"
"HGLibB_00034","AADACL3"
"HGLibB_00035","AADACL3"
"HGLibB_00036","AADACL3"
"HGLibA_00037","AADACL4"
"HGLibA_00038","AADACL4"
"HGLibA_00039","AADACL4"
"HGLibB_00037","AADACL4"
"HGLibB_00038","AADACL4"
"HGLibB_00039","AADACL4"
"HGLibA_00040","AADAT"
"HGLibA_00041","AADAT"
"HGLibA_00042","AADAT"
"HGLibB_00040","AADAT"
"HGLibB_00041","AADAT"
"HGLibB_00042","AADAT"
"HGLibA_00043","AAED1"
"HGLibA_00044","AAED1"
"HGLibA_00045","AAED1"
"HGLibB_00043","AAED1"
"HGLibB_00044","AAED1"
"HGLibB_00045","AAED1"
"HGLibA_00046","AAGAB"
"HGLibA_00047","AAGAB"
"HGLibA_00048","AAGAB"
"HGLibB_00046","AAGAB"
"HGLibB_00047","AAGAB"
"HGLibB_00048","AAGAB"
"HGLibA_00049","AAK1"
"HGLibA_00050","AAK1"
"HGLibA_00051","AAK1"
"HGLibB_00049","AAK1"
"HGLibB_00050","AAK1"
"HGLibB_00051","AAK1"
"HGLibA_00052","AAMDC"
"HGLibA_00053","AAMDC"
"HGLibA_00054","AAMDC"
"HGLibB_00052","AAMDC"
"HGLibB_00053","AAMDC"
"HGLibB_00054","AAMDC"
"HGLibA_00055","AAMP"
"HGLibA_00056","AAMP"
"HGLibA_00057","AAMP"
"HGLibB_00055","AAMP"
"HGLibB_00056","AAMP"
"HGLibB_00057","AAMP"
"HGLibA_00058","AANAT"
"HGLibA_00059","AANAT"
"HGLibA_00060","AANAT"
"HGLibB_00058","AANAT"
"HGLibB_00059","AANAT"
"HGLibB_00060","AANAT"
"HGLibA_00061","AAR2"
"HGLibA_00062","AAR2"
"HGLibA_00063","AAR2"
"HGLibB_00061","AAR2"
