"","Gene","score","fdr","lfc","normZ","rank","fdr_synth","geneType","Classification"
"1","RPS21",2.328e-05,0.471535,-0.92515,-3.32,17,0.472,"Essential","Essential"
"2","ATP2C1",3.3607e-05,0.471535,-0.91854,-1.92,489,0.979,NA,"other"
"3","UPF3A",4.0917e-05,0.471535,-2.021,-3.52,10,0.353,NA,"other"
"4","SF3B3",4.418e-05,0.509901,-0.69347,-2.4,172,0.846,"Essential","Essential"
"5","BAP1",4.9336e-05,0.471535,-1.1415,-2.64,88,0.816,NA,"other"
"6","MRPL43",8.5356e-05,0.583489,-0.84809,-2.61,94,0.833,NA,"other"
"7","CDK10",0.0001064,0.583489,-1.0865,-2.43,150,0.846,NA,"other"
"8","PET117",0.00011202,0.583489,-3.2448,-2.25,238,0.906,NA,"other"
"9","NSF",0.00012854,0.583489,-5.5171,-3.83,5,0.225,NA,"other"
"10","EWSR1",0.00013012,0.583489,-0.553,-0.96,2887,0.99,NA,"other"
"11","PSTK",0.00013442,0.583489,-3.0113,-4.54,1,0.0491,NA,"other"
"12","SOD2",0.00015975,0.583489,-1.1322,-3.05,32,0.614,NA,"other"
"13","PES1",0.00018509,0.583489,-1.0373,-2.02,391,0.967,"Essential","Essential"
"14","PWWP2A",0.00018955,0.583489,-1.373,-2.65,82,0.816,NA,"other"
"15","DDX56",0.00022174,0.583489,-1.2716,-2.75,67,0.774,"Essential","Essential"
"16","CHAMP1",0.00024644,0.583489,0.18256,-0.09,8100,0.99,NA,"other"
"17","TUBB4B",0.00029029,0.583489,-0.95913,-2.05,366,0.958,NA,"other"
"18","THG1L",0.00029124,0.583489,-2.1295,-2.48,130,0.846,NA,"other"
"19","CDK6",0.00029512,0.583489,-0.58936,-1.31,1635,0.99,NA,"other"
"20","SLC5A6",0.00029629,0.583489,-2.0024,-2.47,133,0.846,NA,"other"
"21","THRSP",0.00031363,0.583489,-1.432,-1.9,513,0.99,NA,"other"
"22","TJP3",0.00032486,0.583489,-1.2817,-1.96,450,0.979,NA,"other"
"23","NDNL2",0.00032823,0.583489,-1.081,-3.26,19,0.503,NA,"other"
"24","TRAIP",0.00033525,0.583489,-1.6612,-1.9,506,0.99,NA,"other"
"25","LETM1",0.00033605,0.583489,-0.22625,-1.43,1321,0.99,NA,"other"
"26","C22orf43",0.00034141,0.583489,-3.6314,-4.09,3,0.126,NA,"other"
"27","GLT8D2",0.00036396,0.583489,-2.3787,-2.82,54,0.743,NA,"other"
"28","MEN1",0.00037218,0.583489,-1.8432,-2.41,164,0.846,NA,"other"
"29","RNASEH1",0.00040323,0.618296,-0.50555,-1.41,1390,0.99,NA,"other"
"30","TAS2R7",0.0004221,0.618296,-2.7921,-3.2,22,0.542,"Nonessential","Nonessential"
"31","ELOF1",0.00043276,0.583489,-3.5251,-3.08,31,0.585,NA,"other"
"32","RMND5A",0.00043721,0.618296,-2.8579,-3,37,0.627,NA,"other"
"33","PLCL1",0.0004609,0.618296,-0.70711,-1.49,1188,0.99,NA,"other"
"34","LRRC20",0.00047082,0.618296,-0.59509,-1.61,920,0.99,NA,"other"
"35","UBE2G2",0.00048171,0.583489,-0.55511,-1.26,1811,0.99,NA,"other"
"36","MARVELD2",0.00050846,0.642079,-1.2985,-2.1,327,0.944,NA,"other"
"37","TP53BP2",0.00051525,0.583489,-0.85931,-1.49,1180,0.99,NA,"other"
"38","PLEKHO2",0.00052073,0.583489,-1.7867,-3.25,20,0.503,NA,"other"
"39","NELFB",0.00055435,0.618296,-2.0231,-2.07,355,0.944,NA,"other"
"40","COA3",0.00057122,0.618296,0.33126,-0.59,4824,0.99,NA,"other"
"41","DOCK4",0.00060484,0.583489,-0.25762,-1.56,1006,0.99,NA,"other"
"42","TMEM211",0.00063702,0.583489,-2.184,-2.43,148,0.846,NA,"other"
"43","CHCHD4",0.00064155,0.583489,-0.46509,-1.06,2442,0.99,NA,"other"
"44","EGFLAM",0.0006416,0.688201,-2.3242,-2.65,85,0.816,NA,"other"
"45","PARD6G",0.00064659,0.645373,-1.9022,-2.81,58,0.743,NA,"other"
"46","SORL1",0.00072709,0.673007,-1.6902,-1.95,456,0.979,NA,"other"
"47","SRPX",0.0007315,0.724861,-1.1067,-0.56,4996,0.99,NA,"other"
"48","MTPAP",0.00073539,0.673007,-0.54364,-0.97,2838,0.99,"Essential","Essential"
"49","MAPK4",0.00075012,0.729094,-2.1976,-2.56,107,0.846,NA,"other"
"50","TMEM38A",0.00075057,0.583489,-0.41916,-0.8,3663,0.99,NA,"other"
"51","COPB1",0.00078402,0.618296,-0.42482,-1.47,1224,0.99,NA,"other"
"52","NAALADL1",0.00082407,0.689219,-5.3221,-3.16,24,0.561,NA,"other"
"53","C17orf67",0.00082566,0.618296,-0.74143,-1.65,834,0.99,NA,"other"
