Gene,label
TUBA1B,Essential_Gene
EPRS1,Essential_Gene
TNNT2,Essential_Gene
TRMT10C,Essential_Gene
TOPBP1,Essential_Gene
CITED4,Essential_Gene
RPN2,Essential_Gene
SF1,Essential_Gene
BCL2L1,Essential_Gene
MED4,Essential_Gene
FNTB,Essential_Gene
MRPS10,Essential_Gene
RPS19,Essential_Gene
MED21,Essential_Gene
SPAG5,Essential_Gene
SFPQ,Essential_Gene
EXOSC9,Essential_Gene
H2BC6,Essential_Gene
UBAP1,Essential_Gene
GTF2A1,Essential_Gene
EXOSC5,Essential_Gene
PELP1,Essential_Gene
SYS1,Essential_Gene
DUXA,Essential_Gene
HAUS6,Essential_Gene
NOP9,Essential_Gene
USP7,Essential_Gene
PAICS,Essential_Gene
TUBGCP6,Essential_Gene
SSRP1,Essential_Gene
PSMD14,Essential_Gene
SNUPN,Essential_Gene
TXNL4B,Essential_Gene
PARL,Essential_Gene
HAUS8,Essential_Gene
MRPL49,Essential_Gene
METTL16,Essential_Gene
MRPL24,Essential_Gene
GMPPB,Essential_Gene
NUP62,Essential_Gene
CIAPIN1,Essential_Gene
MLST8,Essential_Gene
VMP1,Essential_Gene
PCBP2,Essential_Gene
RAD51C,Essential_Gene
RPSA,Essential_Gene
MRPL28,Essential_Gene
NUP205,Essential_Gene
TIGD1,Essential_Gene
RPS7,Essential_Gene
MPHOSPH10,Essential_Gene
DDX6,Essential_Gene
ZC3H13,Essential_Gene
HIST1H4A,Essential_Gene
DPY30,Essential_Gene
DHX8,Essential_Gene
RCC1,Essential_Gene
RBMX2,Essential_Gene
HAUS3,Essential_Gene
CWF19L2,Essential_Gene
NOP14,Essential_Gene
H2BC14,Essential_Gene
RPL13A,Essential_Gene
ANAPC2,Essential_Gene
SERBP1,Essential_Gene
CHCHD3,Essential_Gene
NFKBIE,Essential_Gene
GPKOW,Essential_Gene
DGCR8,Essential_Gene
HERC2,Essential_Gene
TIMM29,Essential_Gene
MRPS24,Essential_Gene
ARPC2,Essential_Gene
KANSL3,Essential_Gene
SKP2,Essential_Gene
RABGGTB,Essential_Gene
URI1,Essential_Gene
HJURP,Essential_Gene
POLR2L,Essential_Gene
RPS29,Essential_Gene
VPS41,Essential_Gene
NUP160,Essential_Gene
C9orf78,Essential_Gene
EIF4G1,Essential_Gene
ATP6AP1,Essential_Gene
DCTN4,Essential_Gene
INTS11,Essential_Gene
NUP107,Essential_Gene
PSMB3,Essential_Gene
TARS2,Essential_Gene
SF3B2,Essential_Gene
XRCC3,Essential_Gene
DSN1,Essential_Gene
UBA52,Essential_Gene
SRPRA,Essential_Gene
TRRAP,Essential_Gene
NELFCD,Essential_Gene
SLC9B1,Essential_Gene
RNF40,Essential_Gene
EIF3J,Essential_Gene
HAUS1,Essential_Gene
MRPL9,Essential_Gene
IARS1,Essential_Gene
TAF8,Essential_Gene
ATP5MF,Essential_Gene
SF3B3,Essential_Gene
TPI1,Essential_Gene
SKP1,Essential_Gene
CTNNBL1,Essential_Gene
FBXO5,Essential_Gene
GARS,Essential_Gene
CCAR1,Essential_Gene
SNRNP35,Essential_Gene
AURKAIP1,Essential_Gene
RHEB,Essential_Gene
CRCP,Essential_Gene
DPAGT1,Essential_Gene
BANP,Essential_Gene
HSCB,Essential_Gene
PAK1IP1,Essential_Gene
SPRR2G,Essential_Gene
AQP7,Essential_Gene
CIAO3,Essential_Gene
EXOSC2,Essential_Gene
H2AW,Essential_Gene
RBM8A,Essential_Gene
ARL2,Essential_Gene
LAMTOR3,Essential_Gene
