sgRNA	Gene	HT29-Reference	HT29-Baseline	HT29-D1	HT29-D2	HT29-80-1	HT29-80-2
sg_6596_3	HLTF	3042	2373	2678	2039	1118	715
sg_51655_4	RASD1	6803	5556	5792	4573	5231	4497
sg_121268_1	RHEBL1	5600	4465	4103	3205	2822	1891
sg_134492_4	NUDCD2	2093	1667	1123	841	779	1048
sg_92002_2	FAM58A	1555	1172	554	321	181	70
sg_123_1	PLIN2	1826	2174	2162	1703	821	955
sg_883_2	CCBL1	971	817	616	596	125	123
sg_26049_3	FAM169A	1836	1320	1499	933	1089	1149
sg_8515_4	ITGA10	3122	2816	2189	2395	3539	3699
sg_55735_1	DNAJC11	4583	1286	295	396	222	189
sg_6856_4	SYPL1	2412	2344	2534	2022	2921	3571
sg_55652_4	SLC48A1	1899	1798	2303	1464	856	908
sg_399823_2	FOXI2	3880	3928	3546	2930	2624	3166
sg_10566_2	AKAP3	1589	1578	1884	2267	1472	1081
sg_25843_1	MOB4	3309	2807	1020	995	1144	551
sg_81621_3	KAZALD1	2278	1722	1786	1693	2573	1716
sg_51435_1	SCARA3	6076	5365	5903	4977	3638	3311
sg_NTC_485	Non_Targeting_Control_485	6297	5954	6363	5958	8683	9510
sg_245939_3	DEFB128	1345	1214	1271	1296	1165	1556
sg_1524_4	CX3CR1	1896	1819	1830	1578	3034	4865
sg_86_3	ACTL6A	5763	5789	5577	3706	4346	3046
sg_85025_3	TMEM60	2780	1886	1193	1425	1408	2133
sg_23219_4	FBXO28	1975	1800	1052	792	1656	2548
sg_11230_2	PRAF2	4854	4004	3476	3530	2829	2314
sg_138240_3	C9orf57	1129	1109	1113	476	299	1022
sg_25948_3	KBTBD2	656	327	183	142	141	203
sg_22802_3	CLCA4	2680	2862	2808	3026	4486	4704
sg_3371_2	TNC	2440	2397	2320	2400	796	731
sg_64221_4	ROBO3	3134	3008	2873	2487	2525	3698
sg_119587_4	CPXM2	2519	2309	2452	2246	1254	1027
sg_254158_3	CXorf58	2625	2212	2525	2661	903	1227
sg_55210_4	ATAD3A	4555	4685	4843	3377	2389	4075
sg_4171_1	MCM2	5542	3277	1471	845	920	711
sg_4255_3	MGMT	4443	4013	4782	3819	2314	2274
sg_10193_2	RNF41	3194	3123	2670	1715	2445	1983
sg_283229_3	CRACR2B	679	376	816	225	1052	671
sg_29121_4	CLEC2D	1890	1869	2252	1603	1037	1213
sg_51635_3	DHRS7	1405	1091	1087	1045	2492	1307
sg_57595_4	PDZD4	4065	3116	2927	2708	2765	2917
sg_9815_3	GIT2	2991	2314	2351	1431	3298	4212
sg_10267_3	RAMP1	2547	2346	1747	1499	1310	955
sg_57546_4	PDP2	2196	2126	2309	1946	3470	1772
sg_139189_3	DGKK	2779	2600	3074	1909	1247	1173
sg_262_2	AMD1	1572	1480	1204	996	992	1292
sg_NTC_821	Non_Targeting_Control_821	7604	7873	11057	8511	5188	4688
sg_6322_3	SCML1	2484	2861	2427	2182	1722	1367
sg_403313_1	PPAPDC2	6000	5475	7004	5299	6479	8231
sg_57016_4	AKR1B10	1225	1442	1698	1052	340	307
sg_NTC_19	Non_Targeting_Control_19	5076	4233	4555	3301	5296	4720
sg_NTC_584	Non_Targeting_Control_584	5168	4761	6494	5044	5086	5072
sg_219432_3	OR4C6	4636	4959	4977	4175	4038	4424
sg_55320_3	MIS18BP1	3516	1754	1014	966	3000	2976
sg_6703_4	SPRR2D	2399	1745	2304	950	2433	1946
sg_26576_1	SRPK3	4201	4093	3872	2957	4117	4072
sg_11234_2	HPS5	3403	2536	3245	2166	1295	2197
sg_54955_3	C1orf109	1961	1201	1215	495	511	484
sg_51778_4	MYOZ2	4792	4799	5156	4085	3170	3713
sg_5936_1	RBM4	2583	1844	1883	1806	1144	654
sg_56301_1	SLC7A10	3446	2782	2416	2361	1509	624
sg_22887_1	FOXJ3	5889	4289	3971	3031	3521	2694
sg_7988_1	ZNF212	1796	1168	1138	666	1655	658
sg_286077_2	FAM83H	1983	1957	2227	2053	2076	1952
sg_8823_4	FGF16	1800	1230	975	754	819	499
sg_3177_4	SLC29A2	2335	1812	1940	1183	4017	2695
sg_404217_1	CTXN1	3783	3708	4305	2362	3322	4349
sg_3268_3	AGFG2	6276	5475	6885	4171	5377	3355
sg_10520_3	ZNF211	1756	1516	1302	790	907	434
sg_26211_2	OR2F1	7300	6096	6707	5204	8931	6918
sg_152006_1	RNF38	2165	1942	2259	1502	1751	1389
sg_55004_3	LAMTOR1	2705	2390	2232	1860	1713	1932
sg_9125_4	RQCD1	3344	2942	2156	1065	1120	1223
sg_100526773_3	EPPIN-WFDC6	3664	3709	4385	3366	6259	6407
sg_353131_2	LCE1A	3700	2458	940	842	1033	2115
sg_1974_3	EIF4A2	1771	1465	1434	1098	1089	2216
sg_255022_4	CALHM1	4325	4229	3726	3338	2591	1816
sg_2895_4	GRID2	5675	5177	4828	3865	2205	3093
sg_163175_3	LGI4	775	517	482	754	77	53
sg_9049_1	AIP	3596	2824	3183	2830	1636	1762
sg_91522_1	COL23A1	3195	1997	2166	1341	2626	2465
sg_10825_1	NEU3	2555	2076	2341	1777	2741	1562
sg_2632_1	GBE1	4874	4389	4273	3166	3097	3436
sg_132158_1	GLYCTK	5463	4339	4554	3827	6377	3412
sg_79921_2	TCEAL4	2336	2124	1951	1669	1301	1010
sg_56919_3	DHX33	2842	1649	51	162	212	38
sg_9457_3	FHL5	4452	3873	4465	3694	4653	3078
sg_55037_3	PTCD3	1777	1010	300	252	248	100
sg_79711_4	IPO4	2389	2159	2452	1485	1151	1051
sg_57513_2	CASKIN2	2413	1831	1767	1249	1260	854
sg_27253_1	PCDH17	4102	4383	4243	3657	4335	1972
sg_84417_1	C2orf40	5650	4196	4430	3303	3055	2241
sg_5105_1	PCK1	1569	1353	1873	942	1982	2138
sg_10979_4	FERMT2	3046	2100	2105	1624	1360	908
sg_51428_4	DDX41	4340	4101	2746	2517	3622	3771
sg_8988_3	HSPB3	3131	3083	3677	3108	2505	2131
sg_81610_4	FAM83D	3527	2029	849	1071	807	1018
sg_84626_1	KRBA1	3495	3011	1969	1601	3358	3164
sg_161003_4	STOML3	3711	2572	2303	1853	1789	1021
sg_80055_1	PGAP1	4302	4030	4676	3144	3772	2922
sg_26286_4	ARFGAP3	2007	1614	1833	2089	943	669
sg_10513_2	APPBP2	2288	2138	1999	1915	1343	1933
sg_157657_2	C8orf37	2330	1516	1545	1334	629	440
sg_7589_3	ZSCAN21	4409	3562	3393	2670	7653	5287
sg_10534_4	SSSCA1	4683	2913	3238	2889	912	1927
sg_389840_1	MAP3K15	1875	1679	1096	1086	2952	3126
sg_58538_3	MPP4	5039	3602	3371	1868	2592	2430
sg_5865_3	RAB3B	2946	2307	2503	1939	853	943
sg_866_2	SERPINA6	1909	1543	1719	1597	1595	1298
sg_100526737_4	RBM14-RBM4	4210	3489	3757	1909	1746	1702
sg_5990_2	RFX2	3448	3110	3613	2478	1034	851
sg_150763_3	GPAT2	2815	1744	1018	1359	1533	954
sg_27087_3	B3GAT1	4876	3894	3075	3341	5804	6795
sg_10584_3	COLEC10	1761	946	477	714	523	389
sg_283694_1	OR4N4	2602	2295	2382	2046	2126	2459
sg_151126_4	ZNF385B	4807	4638	4710	3928	4386	2184
sg_10426_1	TUBGCP3	5480	1507	1458	989	1311	1054
sg_161582_3	DYX1C1	2011	1233	1228	817	794	973
sg_339263_4	C17orf51	2077	1619	1540	1104	730	1304
sg_8701_1	DNAH11	1933	1226	1299	1839	2061	2152
sg_27250_1	PDCD4	4647	3814	4134	3114	2682	2503
sg_1630_1	DCC	2454	2105	2303	2037	1234	555
sg_347733_1	TUBB2B	5616	5628	5667	5234	3237	3218
sg_56256_2	SERTAD4	1519	1381	1004	966	577	390
sg_92691_2	TMEM169	1192	1426	1466	1390	790	669
sg_8402_3	SLC25A11	1986	2060	1931	1645	443	709
sg_7098_1	TLR3	4135	4104	4192	3692	3805	2929
sg_150094_1	SIK1	6167	6351	6675	4559	2901	3100
sg_266740_4	MAGEA2B	1841	925	566	535	232	189
sg_154790_3	CLEC2L	1545	1233	1061	1115	865	570
sg_443_4	ASPA	3067	2649	2331	1501	1245	769
sg_205860_1	TRIML2	3669	3421	3234	2896	1613	1344
sg_NTC_60	Non_Targeting_Control_60	4095	3580	3658	2923	3829	4922
sg_338879_2	RNASE10	3693	3386	4321	2847	3627	2958
sg_149603_3	RNF187	1491	1117	1017	999	1189	826
sg_144363_1	LYRM5	3130	3146	3721	2908	2452	1793
sg_6675_2	UAP1	4459	3918	3690	3951	2869	2197
sg_27436_2	EML4	1561	1259	1242	902	3998	3396
sg_3181_3	HNRNPA2B1	1567	1272	1466	963	331	235
sg_23347_2	SMCHD1	5025	4649	4080	3388	1840	1263
sg_64399_1	HHIP	3339	3272	2773	2547	1516	1732
sg_3693_1	ITGB5	5396	4270	2516	2030	1448	1520
sg_79919_4	C2orf54	4615	4011	4237	3430	4440	3078
sg_24141_3	LAMP5	1862	1248	1434	1191	962	1317
sg_64770_3	CCDC14	1178	952	1625	1119	4500	3454
sg_9531_2	BAG3	2960	2512	2951	2505	4369	4298
sg_7289_1	TULP3	3682	3079	3279	2035	2733	2529
sg_114908_2	TMEM123	3622	2968	2854	2553	1395	1574
sg_10234_2	LRRC17	3411	3881	4391	2845	2448	2374
sg_729442_3	GAGE12H	3145	2421	2264	2198	919	864
sg_338879_4	RNASE10	4664	4354	4214	4671	4900	4413
sg_54567_1	DLL4	6435	4729	4055	3643	8223	6134
sg_29943_4	PADI1	1261	1123	1419	813	1158	1412
sg_54535_4	CCHCR1	2808	2050	1819	1360	1271	865
sg_64093_4	SMOC1	5268	4631	5008	4001	5020	5502
sg_286223_2	C9orf47	4981	4821	4603	4001	4193	4062
sg_113612_1	CYP2U1	1533	1014	1130	827	532	319
sg_1081_1	CGA	1851	1774	2644	1533	3277	2336
sg_1586_4	CYP17A1	3607	2637	2435	2494	2608	3240
sg_10112_4	KIF20A	563	291	238	265	117	68
sg_284257_4	BOD1L2	4095	3686	3702	2698	2460	2772
sg_5671_4	PSG3	3743	3703	4616	2795	3961	2999
sg_3227_1	HOXC11	3405	3164	3220	2573	2102	2671
sg_286749_2	STON1-GTF2A1L	3628	3308	3078	2455	2844	3043
sg_83700_2	JAM3	8009	6627	6793	5296	4793	4147
sg_4586_4	MUC5AC	5318	4814	3091	2219	3739	4948
sg_389761_1	SPATA31D4	2746	3139	3395	2442	4329	2767
sg_50848_1	F11R	1860	2084	1877	1362	1062	681
sg_3295_2	HSD17B4	2517	2108	2008	1669	3636	3012
sg_55731_3	FAM222B	2685	2182	1911	1778	1032	1464
sg_79701_1	OGFOD3	765	727	644	907	283	467
sg_7141_3	TNP1	1734	1474	1730	1052	1517	1468
sg_7175_3	TPR	4104	2554	2875	1957	1279	1225
sg_9058_3	SLC13A2	4048	3047	2470	1939	1315	1491
sg_23518_3	R3HDM1	1902	1815	1724	1503	1896	926
sg_5830_2	PEX5	2136	1483	869	969	314	304
sg_114905_1	C1QTNF7	993	1032	997	930	950	665
sg_162282_3	ANKFN1	3833	3792	3524	2321	2530	1803
sg_284716_1	RIMKLA	3662	3339	3385	2414	1975	1765
sg_57713_4	SFMBT2	1981	1716	1239	1153	2975	3060
sg_83449_1	PMFBP1	5009	4169	4136	2922	5594	5242
sg_80829_1	ZFP91	2189	1784	1532	1581	606	714
sg_54916_3	TMEM260	5619	4910	6383	5447	4340	6334
sg_3066_2	HDAC2	889	620	588	279	463	487
sg_242_3	ALOX12B	4495	3246	3453	2469	2357	1466
sg_26233_4	FBXL6	1374	1231	835	800	1265	1190
sg_256471_1	MFSD8	2900	2747	2875	2012	2285	1504
sg_27181_1	SIGLEC8	6755	4786	4723	4291	4500	4038
sg_11006_4	LILRB4	2613	1943	2196	1946	1565	1132
sg_3237_1	HOXD11	2818	2436	2353	2312	1281	1849
sg_55967_1	NDUFA12	815	624	481	654	324	1240
sg_83741_1	TFAP2D	2344	1984	2015	1743	1599	828
sg_3788_4	KCNS2	2375	1908	2520	2186	1703	1739
sg_6004_3	RGS16	1822	1733	1591	1340	1952	1183
sg_11164_1	NUDT5	5427	4032	3730	3418	7526	3621
sg_115827_4	RAB3C	3433	3137	3745	2562	2386	2663
sg_3157_2	HMGCS1	3298	600	28	48	63	83
sg_64927_3	TTC23	2712	2237	2521	2056	4288	6810
sg_5654_2	HTRA1	5705	5280	4526	4423	5992	3090
sg_441669_1	OR4Q3	1067	733	850	651	761	535
sg_6898_1	TAT	2551	2220	1810	1934	2127	1482
sg_55_2	ACPP	2490	2809	3367	2638	4313	4087
sg_80323_3	CCDC68	3488	3346	4491	2783	1790	1415
sg_7392_1	USF2	4195	2980	1981	1865	1788	1367
sg_56339_1	METTL3	3735	3071	822	941	918	182
sg_57102_2	C12orf4	3450	3061	2904	2371	2171	2183
sg_80122_1	MAP3K19	2866	1998	1781	1742	1833	839
sg_160335_2	TMTC2	2438	2196	1700	1529	2199	1171
sg_51280_1	GOLM1	3176	2975	2807	2229	1892	1936
sg_23386_1	NUDCD3	4398	3779	2881	2528	2532	2560
sg_10157_1	AASS	2577	2379	1772	1599	1870	1582
sg_6652_2	SORD	3067	2741	2695	2107	3295	2687
sg_10762_3	NUP50	3684	1919	1393	843	1050	935
sg_10699_1	CORIN	7463	5865	4882	3727	4653	4702
sg_130132_4	RFTN2	1152	946	827	651	193	261
sg_5074_1	PAWR	5290	5624	8896	5881	9312	7044
sg_83448_4	PUS7L	2493	1755	2000	1554	3975	1271
sg_6554_3	SLC10A1	4078	3458	3233	2218	3291	1518
sg_390078_4	OR52E6	1757	1298	902	1246	2181	887
sg_4343_4	MOV10	3874	3203	3205	2571	1834	2899
sg_83594_1	NUDT12	737	592	462	482	758	417
sg_23288_1	IQCE	2143	2034	2166	1974	3062	2930
sg_341152_1	OR2AT4	2603	1980	1893	1475	2268	1887
sg_57597_4	BAHCC1	1801	1993	1592	1705	1615	1315
sg_1891_2	ECH1	4990	4465	5036	3035	5339	3939
sg_790_2	CAD	1778	1333	381	425	91	58
sg_23176_1	SEPT8	5507	4444	4713	3393	2746	2387
sg_NTC_711	Non_Targeting_Control_711	4368	4590	5995	3896	4052	2880
sg_5001_1	ORC5	1455	1065	355	175	213	473
sg_54474_3	KRT20	1532	972	1105	686	2971	730
sg_834_1	CASP1	947	771	780	802	551	661
sg_8508_4	NIPSNAP1	1347	1312	911	738	1484	311
sg_130162_4	CLHC1	2020	1426	1330	622	1261	1494
sg_2107_4	ETF1	1619	164	59	22	151	119
sg_221078_4	NSUN6	3097	2523	2396	2152	3130	3594
sg_5529_4	PPP2R5E	2854	2689	2779	2378	5796	6647
sg_6406_2	SEMG1	3122	3041	3678	3285	7074	9293
sg_2776_4	GNAQ	3260	2756	2527	1638	1387	2295
sg_3939_3	LDHA	1837	1472	2309	1435	1297	2164
sg_219952_4	OR6Q1	4783	4666	6246	4443	3902	4158
sg_100526842_4	RPL17-C18orf32	3286	3090	3221	2959	1544	1562
sg_54922_1	RASIP1	7961	6583	4791	4811	4909	3688
sg_5526_4	PPP2R5B	2095	1495	1591	1672	2104	2898
