sgrna,gene
sg_66002_1,CYP4F12
sg_6718_4,AKR1D1
sg_340554_1,ZC3H12B
sg_4929_4,NR4A2
sg_6232_1,RPS27
sg_390084_3,OR56A5
sg_93129_4,ORAI3
sg_8821_1,INPP4B
sg_51181_1,DCXR
sg_118932_4,ANKRD22
sg_79637_1,ARMC7
sg_643699_1,GOLGA8N
sg_81533_3,ITFG1
sg_51645_1,PPIL1
sg_4646_3,MYO6
sg_6690_3,SPINK1
sg_25937_3,WWTR1
sg_148741_1,ANKRD35
sg_10234_3,LRRC17
sg_56242_3,ZNF253
sg_10093_2,ARPC4
sg_10677_2,AVIL
sg_396_2,ARHGDIA
sg_7125_3,TNNC2
sg_55086_1,CXorf57
sg_203069_3,R3HCC1
sg_9578_3,CDC42BPB
sg_133558_3,MROH2B
sg_55297_3,CCDC91
sg_5519_2,PPP2R1B
sg_6517_3,SLC2A4
sg_84337_2,ELOF1
sg_7314_2,UBB
sg_100506650_1,C17orf112
sg_311_3,ANXA11
sg_90806_1,ANGEL2
sg_930_4,CD19
sg_23011_4,RAB21
sg_51181_3,DCXR
sg_5340_3,PLG
sg_2782_1,GNB1
sg_440077_2,ZNF705A
sg_340527_1,NHSL2
sg_83953_4,FCAMR
sg_23762_1,OSBP2
sg_27077_2,B9D1
sg_9184_4,BUB3
sg_100272147_1,CMC4
sg_8392_3,OR3A3
sg_8748_4,ADAM20
sg_23053_3,ZSWIM8
sg_100131378_4,C11orf91
sg_60673_4,ATG101
sg_4291_2,MLF1
sg_23047_4,PDS5B
sg_842_1,CASP9
sg_3574_3,IL7
sg_3699_2,ITIH3
sg_55723_2,ASF1B
sg_9843_1,HEPH
sg_60_2,ACTB
sg_282617_3,IFNL3
sg_4641_3,MYO1C
sg_338692_2,ANKRD13D
sg_54503_3,ZDHHC13
sg_387755_3,INSC
sg_23339_3,VPS39
sg_55069_1,TMEM248
sg_NTC_898,Non_Targeting_Control_898
sg_6146_1,RPL22
sg_27302_2,BMP10
sg_4833_4,NME4
sg_1829_4,DSG2
sg_400793_2,C1orf226
sg_6424_3,SFRP4
sg_124565_1,SLC38A10
sg_8347_4,HIST1H2BC
sg_55703_1,POLR3B
sg_317662_4,FAM149B1
sg_256309_4,CCDC110
sg_53358_1,SHC3
sg_340547_1,VSIG1
sg_9191_3,DEDD
sg_64131_1,XYLT1
sg_1139_3,CHRNA7
sg_284353_2,NKPD1
sg_138241_2,C9orf85
sg_81399_2,OR4F16
sg_375033_1,PEAR1
sg_8848_2,TSC22D1
sg_5873_3,RAB27A
sg_64375_3,IKZF4
sg_1977_2,EIF4E
sg_494197_3,SPANXN5
sg_22936_4,ELL2
sg_100271927_4,RASA4B
sg_29998_3,GLTSCR1
sg_346517_1,OR6V1
sg_80008_1,TMEM156
sg_23784_1,POTEH
sg_153020_1,RASGEF1B
sg_26090_3,ABHD12
sg_9766_1,SUSD6
sg_2632_2,GBE1
sg_59274_4,MESDC1
sg_195814_2,SDR16C5
sg_128876_3,FAM83C
sg_NTC_49,Non_Targeting_Control_49
sg_50859_4,SPOCK3
sg_1311_3,COMP
sg_222229_2,LRWD1
sg_284348_4,LYPD5
sg_7067_1,THRA
sg_8971_3,H1FX
sg_6572_3,SLC18A3
sg_84650_4,EBPL
sg_5300_3,PIN1
sg_10810_4,WASF3
sg_4234_3,METTL1
sg_NTC_911,Non_Targeting_Control_911
sg_9403_2,SEP15
sg_1378_3,CR1
sg_64844_1,MARCH7
sg_563_3,AZGP1
sg_406_4,ARNTL
sg_159119_3,HSFY2
sg_1379_3,CR1L
sg_9751_4,SNPH
sg_80321_4,CEP70
sg_9976_2,CLEC2B
sg_5162_3,PDHB
sg_140685_3,ZBTB46
sg_102724279_2,LOC102724279
sg_2829_2,XCR1
sg_122622_4,ADSSL1
sg_102288414_3,C11orf98
sg_253012_2,HEPACAM2
sg_7755_1,ZNF205
sg_5565_3,PRKAB2
sg_10017_2,BCL2L10
sg_83479_3,DDX59
sg_136991_2,ASZ1
sg_55957_1,LIN37
sg_28999_4,KLF15
sg_286133_1,SCARA5
sg_353_3,APRT
sg_6990_3,DYNLT3
sg_7156_1,TOP3A
sg_729159_1,LOC729159
sg_25888_4,ZNF473
sg_57799_3,RAB40C
sg_55553_1,SOX6
sg_123016_3,TTC8
