sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_3418_3	IDH2	619	732	727	1537	990	721
sg_201254_1	STRA13	4164	6040	6876	11925	7629	6798
sg_132946_1	ARL9	1850	1951	2203	1687	1740	1887
sg_1401_4	CRP	2657	3418	2803	4233	2572	4400
sg_29994_3	BAZ2B	2114	2248	2814	3455	2042	3062
sg_80308_4	FLAD1	1186	1345	843	1040	409	528
sg_55765_2	C1orf106	3083	3041	2046	3430	3592	2868
sg_79634_4	SCRN3	1082	1451	1269	2559	3569	2040
sg_5293_3	PIK3CD	380	441	281	223	260	388
sg_3688_1	ITGB1	3526	4176	3389	2914	3169	3963
sg_9092_4	SART1	1917	1297	530	794	833	470
sg_10491_2	CRTAP	3136	3501	1917	3373	3053	2838
sg_79613_2	TANGO6	1537	1066	3	14	75	91
sg_64377_3	CHST8	1636	2675	3084	3592	3558	2885
sg_51504_4	TRMT112	1500	346	39	43	0	0
sg_3741_4	KCNA5	2592	3198	2658	4663	3402	2420
sg_391123_4	VSIG8	1444	2458	1903	5409	3028	2553
sg_51701_3	NLK	2130	2132	2086	2109	1917	1384
sg_11183_4	MAP4K5	1430	1057	590	883	1038	1152
sg_79696_3	ZC2HC1C	2353	3244	3086	4054	2940	2875
sg_100873985_1	MED14OS	3542	4129	4457	6240	6517	4482
sg_NTC_767	Non_Targeting_Control_767	2047	3094	3694	6261	4339	6004
sg_5356_2	PLRG1	371	115	147	67	256	31
sg_27179_3	IL36A	696	507	302	470	1164	889
sg_136263_4	SSMEM1	1678	2468	2301	2543	2113	2035
sg_8029_3	CUBN	1579	1645	1897	1690	941	2475
sg_79109_3	MAPKAP1	1129	1922	1225	2400	2221	1468
sg_79865_1	TREML2	1042	822	616	1254	876	990
sg_896_4	CCND3	1038	896	1263	966	1507	1988
sg_119559_1	SFXN4	1044	1448	1032	1586	1279	1484
sg_8930_1	MBD4	2766	3151	4425	7675	3220	4465
sg_131405_2	TRIM71	840	964	1870	1934	1824	1689
sg_79092_4	CARD14	1565	1635	1210	2957	2674	1323
sg_338809_4	C12orf74	2567	2072	959	2153	2339	1505
sg_1591_1	CYP24A1	3166	3232	2035	4444	3907	4629
sg_79803_1	HPS6	3059	3239	5346	6546	6513	6320
sg_80099_1	C7orf69	795	830	119	595	535	171
sg_5828_1	PEX2	1321	1005	323	615	125	90
sg_5437_1	POLR2H	1356	940	342	480	623	214
sg_57479_1	PRR12	3941	4660	3563	4512	3010	2186
sg_349149_1	GJC3	1709	1841	2464	3837	1624	2985
sg_92675_1	DTD1	1255	2049	2573	4146	2088	2375
sg_57674_4	RNF213	1321	1593	1540	2539	2072	1817
sg_5105_3	PCK1	908	1254	964	1294	1706	1431
sg_26284_1	ERAL1	787	899	0	14	12	0
sg_25833_3	POU2F3	657	819	1220	830	975	1046
sg_8243_2	SMC1A	2092	1865	1380	1691	957	1119
sg_117154_3	DACH2	2471	2665	2359	3186	2457	2243
sg_395_4	ARHGAP6	2446	2911	2819	4149	3141	4123
sg_3888_2	KRT82	2975	2344	2425	4036	3131	5633
sg_64342_3	HS1BP3	1456	1558	1197	1337	928	1698
sg_2307_3	FOXS1	2429	3113	3457	5247	3174	3667
sg_57677_4	ZFP14	3863	4803	4086	5931	6237	5018
sg_132203_2	SNTN	2254	2647	2228	3128	2726	1703
sg_123745_1	PLA2G4E	1820	2101	1324	2720	1823	1692
sg_442186_2	OR2J3	1792	2550	2291	5090	2724	3262
sg_729515_3	TMEM242	4275	4039	1664	2145	2393	2657
sg_64518_3	TEKT3	727	953	1374	1019	1476	1559
sg_51764_3	GNG13	2306	3027	3882	4818	2729	3972
sg_5207_4	PFKFB1	2223	2691	2495	4412	3217	4351
sg_100287178_1	USP17L11	1179	1029	557	897	769	1514
sg_5881_1	RAC3	1839	2833	3664	4031	4440	5397
sg_10436_1	EMG1	1711	783	163	404	318	201
sg_55168_3	MRPS18A	2260	1653	39	25	51	8
sg_284615_2	ANKRD34A	805	1040	1184	2362	2692	1232
sg_5082_4	PDCL	3222	3937	1241	2602	2315	2226
sg_388960_1	C2orf78	3174	3212	4632	4823	4022	3095
sg_222662_1	LHFPL5	3374	2341	1081	3872	3606	3657
sg_8027_3	STAM	1089	1279	3087	6111	3788	3566
sg_2981_3	GUCA2B	3048	3768	4162	5745	5652	6484
sg_85458_4	DIXDC1	2959	3555	2466	3125	2722	3264
sg_79002_4	C19orf43	1142	1066	232	377	473	349
sg_9637_3	FEZ2	1639	1835	2976	6131	2874	2926
sg_5298_2	PI4KB	2467	1849	882	1058	524	852
sg_22955_2	SCMH1	1598	1657	2791	4678	2507	3116
sg_30000_2	TNPO2	2932	1926	1014	1561	1378	1593
sg_57549_2	IGSF9	2420	3662	2537	7105	4706	5612
sg_5824_2	PEX19	1248	1281	271	645	314	490
sg_81790_1	RNF170	2661	3038	2328	4248	3968	2670
sg_673_3	BRAF	2096	1753	1017	1800	750	1554
sg_126731_4	CCSAP	2640	2748	1781	2719	2715	2704
sg_9238_2	TBRG4	3417	3838	3792	6969	4377	6270
sg_403312_4	LOC403312	1468	1276	653	824	788	994
sg_9972_1	NUP153	3615	1773	1134	2083	1581	1254
sg_83461_1	CDCA3	849	1040	962	1481	615	1184
sg_389072_4	PLEKHM3	997	1216	668	1085	745	1125
sg_386617_3	KCTD8	1712	1584	1473	1625	1151	803
sg_65009_3	NDRG4	3106	2912	4098	3531	3915	4151
sg_84245_4	MRI1	1924	1821	1421	2086	2100	1991
sg_23175_2	LPIN1	2658	2820	1838	1879	2883	1689
sg_55510_2	DDX43	1835	1862	1759	3541	2932	2490
sg_349136_3	WDR86	1842	2921	2885	4548	5624	4299
sg_222659_3	PXT1	2294	1837	1217	2194	1598	1468
sg_100288413_3	ERVMER34-1	2597	3372	3054	6272	4255	5190
sg_353333_1	KRTAP10-10	1278	1165	982	1605	1706	1661
sg_5122_2	PCSK1	2527	3061	4972	3419	3911	5327
sg_161253_2	REM2	780	553	288	93	67	81
sg_10047_1	CST8	1971	2144	11034	12914	9295	8717
sg_10672_2	GNA13	2853	3834	5948	8854	5421	5970
sg_1201_1	CLN3	2958	3182	4474	5932	3426	3145
sg_4939_1	OAS2	4064	3254	3571	7619	6104	4593
sg_137814_1	NKX2-6	2775	3310	3206	4782	3822	3132
sg_9560_1	CCL4L2	1483	1397	510	1748	1239	864
sg_8807_1	IL18RAP	1928	1732	890	1280	1290	1010
sg_8826_3	IQGAP1	1708	2077	580	1015	821	583
sg_348262_4	FAM195B	2457	2380	1917	5118	2744	2594
sg_2769_3	GNA15	2099	2264	3480	3629	3463	2965
sg_64328_1	XPO4	2731	2947	2208	2886	2724	2376
sg_55722_2	CEP72	1012	1426	1658	1964	2021	2030
sg_899_4	CCNF	3125	4690	3543	7201	5550	7414
sg_386681_4	KRTAP10-8	2707	3286	2335	4024	3089	2882
sg_843_4	CASP10	885	518	707	555	510	484
sg_84440_4	RAB11FIP4	1104	1195	973	2437	1767	1650
sg_480_1	ATP1A4	2704	3004	2582	2145	2973	2494
sg_113278_2	SLC52A3	1069	1137	858	1714	1963	1468
sg_339487_2	ZBTB8OS	789	522	0	129	21	0
sg_728395_1	TSPY4	2165	3347	3427	5617	4076	3128
sg_80055_4	PGAP1	1153	924	562	697	396	911
sg_10240_1	MRPS31	3307	4055	1532	2914	2051	2125
sg_258010_1	SVIP	4486	6802	8841	17596	11783	10897
sg_100533183_3	ZNF664-FAM101A	1707	1583	1110	3095	1938	1022
