sgRNA	Gene	SW480-Reference	SW480-Baseline	SW480-D1	SW480-D2	SW480-20-1	SW480-20-2
sg_201134_1	CEP112	2084	2738	2265	2367	2777	2398
sg_222658_2	KCTD20	1441	1936	2306	1697	1970	1419
sg_26960_1	NBEA	4591	6785	5830	7286	7819	6133
sg_51567_4	TDP2	1489	2051	2476	1505	2668	2114
sg_8668_1	EIF3I	4721	6282	5991	5803	5463	6009
sg_56302_4	TRPV5	1083	1549	1674	1678	1645	1353
sg_5625_3	PRODH	1340	1597	1919	1163	1153	1510
sg_84138_1	SLC7A6OS	2011	1578	1116	749	1229	936
sg_8535_4	CBX4	2213	2779	1993	2097	2321	2189
sg_440400_1	RNASEK	2027	2142	1064	1806	1944	1609
sg_5726_2	TAS2R38	2767	2680	2205	2008	2143	1756
sg_7348_3	UPK1B	1695	1988	1734	1497	2351	1765
sg_89797_4	NAV2	3413	4813	5115	3801	5493	4921
sg_64963_2	MRPS11	3395	5100	3369	2817	3552	3118
sg_123920_1	CMTM3	2277	3128	2560	2315	2315	1866
sg_203547_3	VMA21	991	1676	950	1204	1293	1173
sg_222235_3	FBXL13	609	627	320	473	442	429
sg_57469_2	PNMAL2	2728	3531	2664	2847	3124	2587
sg_57486_1	NLN	2223	3437	3370	2775	3725	4083
sg_126075_3	CCDC159	1880	2141	2369	1716	1855	2166
sg_51293_2	CD320	3596	4769	4099	3634	3641	3609
sg_5349_3	FXYD3	1461	1946	2428	1339	2022	2147
sg_89839_1	ARHGAP11B	783	846	748	1300	770	877
sg_NTC_752	Non_Targeting_Control_752	2569	3334	3141	2636	3504	3829
sg_340554_2	ZC3H12B	1513	2013	2241	2160	2543	1982
sg_1285_2	COL4A3	918	1153	967	763	544	612
sg_645811_3	CCDC154	3620	4940	4705	4039	4959	4627
sg_25942_1	SIN3A	2051	1939	1169	1631	1334	1223
sg_29_2	ABR	704	932	679	621	581	467
sg_100037417_2	DDTL	1504	1841	1163	1036	1037	916
sg_987_2	LRBA	4562	6602	6104	4843	6767	5706
sg_534_1	ATP6V1G2	2179	2843	2127	1822	2074	2092
sg_113177_4	IZUMO4	3125	4742	3864	4002	3599	3155
sg_55071_3	C9orf40	3238	3799	3702	2943	4419	3305
sg_9573_1	GDF3	767	1146	1182	1128	1042	805
sg_2975_2	GTF3C1	2428	2670	1218	1507	1239	1541
sg_10478_3	SLC25A17	344	419	322	260	215	204
sg_2072_3	ERCC4	2522	3251	3258	3208	3549	3671
sg_26996_1	GPR160	2529	3092	2303	2853	2694	2697
sg_5546_1	PRCC	2421	2345	983	1106	1285	1145
sg_7637_3	ZNF84	2610	3237	3503	3228	4020	3688
sg_161742_1	SPRED1	2381	3035	2262	2033	3007	2389
sg_55930_2	MYO5C	2509	2944	2920	2868	2254	2222
sg_NTC_418	Non_Targeting_Control_418	2587	3296	2453	1949	2658	2254
sg_284252_4	KCTD1	1280	1845	2171	1711	2464	1837
sg_11065_1	UBE2C	709	816	625	410	463	349
sg_7468_4	WHSC1	454	832	625	724	532	387
sg_10692_2	RRH	3598	4538	3994	3509	3697	3128
sg_3351_2	HTR1B	549	719	592	504	814	784
sg_388566_1	ZNF470	1355	1692	1420	1702	1990	1803
sg_22798_1	LAMB4	1478	1835	1984	1326	1563	1203
sg_NTC_470	Non_Targeting_Control_470	2855	3728	3378	3547	5033	2883
sg_147040_3	KCTD11	1782	2671	2387	2068	2931	2231
sg_1812_2	DRD1	833	888	601	793	974	657
sg_9498_4	SLC4A8	2668	2934	2957	2862	2602	2465
sg_112483_2	SAT2	1158	1681	1329	1648	989	888
sg_168544_4	ZNF467	3014	3771	2568	2928	2999	2528
sg_9641_2	IKBKE	573	1027	716	673	739	629
sg_826_3	CAPNS1	2514	3609	3113	2989	3768	3099
sg_22841_3	RAB11FIP2	1005	1463	1613	1204	2233	1198
sg_57447_2	NDRG2	2361	2772	3062	2058	2975	3287
sg_5979_4	RET	3136	4075	2859	2380	3175	3128
sg_9817_2	KEAP1	4260	5292	4661	4020	3365	3017
sg_4594_3	MUT	1971	2552	2817	2601	3472	2274
sg_144348_3	ZNF664	1385	1695	1494	994	1148	759
sg_132158_3	GLYCTK	1776	2008	1559	1439	3461	1946
sg_722_4	C4BPA	3650	5224	4109	4508	5303	5140
sg_164668_3	APOBEC3H	1201	1323	1411	1305	1627	2151
sg_440275_2	EIF2AK4	3913	4999	4936	6365	5533	4664
sg_90187_2	EMILIN3	1661	2228	2167	2436	2974	2222
sg_196385_2	DNAH10	3194	4424	3885	3138	3607	2792
sg_342900_4	LEUTX	1038	1341	1408	1288	1082	1006
sg_23400_1	ATP13A2	4232	5797	5733	4409	6133	4997
sg_10865_3	ARID5A	1494	1853	1181	1322	1334	1321
sg_84986_4	ARHGAP19	1074	1011	909	618	762	1067
sg_7078_2	TIMP3	2328	3097	2279	2024	2680	2292
sg_126520_4	PLK5	2671	3844	3701	3204	3463	3727
sg_80217_2	CFAP43	844	1224	1270	1554	1615	1811
sg_126069_4	ZNF491	2692	3255	2732	3001	4191	3981
sg_5564_1	PRKAB1	3777	5334	4206	3451	4527	3860
sg_53942_2	CNTN5	1037	1249	1017	1364	1535	1067
sg_3709_4	ITPR2	3143	4583	3243	3012	3301	3490
sg_340393_3	TMEM249	1423	1837	1671	1276	1434	1588
sg_134548_3	SOWAHA	2860	3213	2332	2595	3529	2825
sg_22977_3	AKR7A3	2073	2551	1537	1677	1784	2349
sg_50855_1	PARD6A	1779	2306	2587	1899	2356	2224
sg_23187_1	PHLDB1	639	821	899	808	1207	501
sg_27342_4	RABGEF1	2117	2754	2502	2337	2579	2868
sg_8574_2	AKR7A2	2292	2736	2659	2955	3057	2201
sg_6405_3	SEMA3F	3462	3910	3343	2966	2699	2681
sg_613227_3	HIGD1C	1274	1232	1428	1400	1807	1423
sg_26085_2	KLK13	809	1416	1426	1038	1623	1214
sg_27067_2	STAU2	2480	3553	2486	2329	1981	2471
sg_1946_2	EFNA5	1012	1485	1777	1492	1565	1120
sg_374969_4	CCDC23	2172	3168	2750	2880	3104	3250
sg_401612_4	SLC25A53	3758	4414	3219	4172	4013	5034
sg_5083_3	PAX9	1050	1270	1136	1146	1318	913
sg_119694_1	OR51F2	2556	3664	3710	2933	3617	3460
sg_51477_2	ISYNA1	841	872	606	483	870	592
sg_5595_3	MAPK3	647	750	476	584	631	414
sg_115004_1	MB21D1	3601	4600	4091	2912	4019	3720
sg_56267_1	CCBL2	812	1035	1270	856	1035	804
sg_55239_1	OGFOD1	1607	2015	1186	1466	1675	1620
sg_55057_3	AIM1L	1924	2791	2330	2433	2841	2862
sg_57705_2	WDFY4	1592	1978	1321	1120	1378	1408
sg_8522_2	GAS7	3221	3766	3603	2676	3724	3287
sg_3263_3	HPX	2210	3130	2212	2390	2463	2165
sg_286436_3	H2BFM	3445	4981	4753	3809	3697	3915
sg_8613_1	PPAP2B	1997	2416	1887	2043	2426	1926
sg_5535_2	PPP3R2	3252	4794	3903	3761	3289	3508
sg_10713_3	USP39	2054	1235	591	526	681	480
sg_84186_1	ZCCHC7	3870	4094	2863	2444	2326	2126
sg_51497_3	NELFCD	928	1033	254	266	637	301
sg_124925_1	SEZ6	3501	4684	4287	3846	4186	4373
sg_6618_2	SNAPC2	1461	1974	611	625	968	978
sg_85007_1	PHYKPL	2141	2481	2400	2631	2030	1913
sg_401387_1	LRRD1	2607	3623	3190	3234	4474	4195
sg_78994_3	PRR14	2440	3824	3553	3206	5331	3626
sg_6641_1	SNTB1	3945	5655	5006	4422	5958	4565
sg_4168_2	MCF2	1422	1760	1693	1511	1613	1744
sg_6954_4	TCP11	1922	3040	3276	2814	3170	2425
sg_51669_4	SARAF	1556	2144	1516	1240	1386	1200
sg_10443_4	N4BP2L2	833	1377	1337	1370	1331	1353
sg_201140_2	DHRS7C	1386	1635	1349	1161	938	1002
sg_744_1	MPPED2	2485	3550	3197	2730	3626	3851
sg_84437_2	MSANTD4	1743	1692	1957	2086	1698	1648
sg_151516_4	ASPRV1	2221	2948	2409	2311	2914	2798
sg_79676_2	OGFOD2	2789	3984	3462	3716	3679	3275
sg_8651_1	SOCS1	2583	2676	2495	2281	2458	1850
sg_440560_3	PRAMEF11	550	935	902	573	670	699
sg_27123_3	DKK2	1470	2045	1594	1660	1818	1458
sg_167465_4	ZNF366	1017	1736	1230	1316	1258	1154
sg_55505_3	NOP10	2378	3226	2236	1842	2189	2156
sg_2911_4	GRM1	1552	2292	1836	2222	2623	2641
sg_2241_4	FER	2856	3480	3285	3251	3617	3649
sg_84641_2	HIATL1	600	788	1003	1055	1191	862
sg_400591_4	C17orf102	2146	3131	3155	3480	5672	4940
sg_10362_1	HMG20B	2381	3559	2704	3348	3309	3081
sg_83639_3	TEX101	2931	3772	3918	3189	3780	3093
sg_23168_2	RTF1	3371	4080	2732	2637	3221	3015
sg_26050_2	SLITRK5	2062	2560	1804	1868	2432	2097
sg_344018_2	FIGLA	2118	2754	1967	2142	3162	2091
sg_57124_3	CD248	1578	1821	1442	2043	2423	1684
sg_84193_3	SETD3	1128	1577	1590	1303	1302	1256
sg_286436_1	H2BFM	1522	1901	1537	1361	1722	1568
sg_NTC_462	Non_Targeting_Control_462	1686	2570	2463	2744	4507	3799
sg_399947_1	C11orf87	5064	7396	7259	5858	7832	7123
sg_80021_2	TMEM62	1931	2147	1895	1827	1942	2875
sg_8153_4	RND2	2366	3391	2964	2760	3222	2359
sg_6277_1	S100A6	2887	3491	3353	2392	3009	3404
sg_10628_4	TXNIP	1681	2450	1521	1592	1837	1917
sg_4722_1	NDUFS3	2704	3296	2726	2294	2652	2563
sg_4321_4	MMP12	2152	3096	4360	2699	3926	3778
sg_23418_2	CRB1	744	764	678	530	805	391
sg_8798_2	DYRK4	1556	2329	1660	1853	2417	1875
sg_11216_4	AKAP10	2990	3928	2622	2836	3071	3436
sg_6854_3	SYN2	1104	1239	895	824	1233	978
sg_84790_1	TUBA1C	2673	1246	728	681	798	642
sg_91624_4	NEXN	2060	2917	2767	3293	2845	2559
sg_51185_3	CRBN	2946	4217	3860	3740	3908	4553
sg_1844_1	DUSP2	1158	960	700	785	720	853
sg_144423_4	GLT1D1	2331	2736	2194	2237	2326	2567
sg_51078_1	THAP4	3024	3786	3238	3389	3541	3521
sg_221749_3	PXDC1	2273	3414	2922	3499	4013	3048
sg_4689_3	NCF4	1301	2122	1435	1491	2516	2268
sg_1347_3	COX7A2	648	870	899	724	726	752
sg_29953_2	TRHDE	717	1103	607	1043	960	501
sg_8500_3	PPFIA1	2466	3105	2870	2812	2705	3103
sg_64793_4	CEP85	1254	1468	1017	569	1015	779
sg_4719_3	NDUFS1	1156	1262	1123	579	1046	1032
sg_220441_3	RNF152	4254	6437	6325	5816	6657	6541
sg_26031_4	OSBPL3	546	630	723	738	449	423
